Binance Pair,Currency,Market
AUCTIONUSDT,AUCTION,USDT
CELOBUSD,CELO,BUSD
DARUSDT,DAR,USDT
DARBUSD,DAR,BUSD
DARBTC,DAR,BTC
BNXBTC,BNX,BTC
BNXBUSD,BNX,BUSD
BNXUSDT,BNX,USDT
RGTUSDT,RGT,USDT
RGTBTC,RGT,BTC
RGTBUSD,RGT,BUSD
LAZIOBUSD,LAZIO,BUSD
OXTBUSD,OXT,BUSD
MOVRBTC,MOVR,BTC
MOVRBUSD,MOVR,BUSD
MOVRUSDT,MOVR,USDT
CITYBTC,CITY,BTC
CITYBUSD,CITY,BUSD
CITYUSDT,CITY,USDT
ENSBTC,ENS,BTC
ENSBUSD,ENS,BUSD
ENSUSDT,ENS,USDT
ANKRBUSD,ANKR,BUSD
KP3RUSDT,KP3R,USDT
QIUSDT,QI,USDT
QIBUSD,QI,BUSD
QIBTC,QI,BTC
PORTOBTC,PORTO,BTC
PORTOUSDT,PORTO,USDT
POWRUSDT,POWR,USDT
POWRBUSD,POWR,BUSD
VGXUSDT,VGX,USDT
JASMYUSDT,JASMY,USDT
JASMYBUSD,JASMY,BUSD
JASMYBTC,JASMY,BTC
AMPBTC,AMP,BTC
AMPBUSD,AMP,BUSD
AMPUSDT,AMP,USDT
PLABTC,PLA,BTC
PLABUSD,PLA,BUSD
PLAUSDT,PLA,USDT
PYRBTC,PYR,BTC
PYRBUSD,PYR,BUSD
PYRUSDT,PYR,USDT
RNDRBTC,RNDR,BTC
RNDRUSDT,RNDR,USDT
RNDRBUSD,RNDR,BUSD
